,,,,,Easy run 8k,,,,,,,,,,
,Intensitet,hög,Låg,med,hög,Låg,Låg,Race,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,45,45,45,90,145,30,75,"7,916666667",,,,,,
,Info,10x200/2min @29-33,,2x1000 + 4x500 flytfart @3:45,10x200/2min @29-33,,4x1/1 strides,SUB 38,,,,,,,
,,,,,,,,,,,,,,,
,KM,,,7,10,,12,13,42,,,,,,
,VECKA 18,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,Easy run,Easy run,Easy run,Easy run,Easy run,10Mila,Easy run,7,,,,,,
,,,,,,,,,,,,,,,
,Intensitet,Låg,Låg,Låg,Låg,Låg,Race,Låg,,,,,,,
,Tid på dagen,Eftermiddag,förmiddag,förmiddag,morgon,eftermiddag,,morgon,,,,,,,
,Tid,,,60,30,60,75,30,"4,25",,,,,,
,Info,"Sliten efter helgens lopp, väldigt överväldigad av stress just nu kan inte fokusera på något, ska träna väldigt försiktigt denhär veckan och hoppas att jag kan prestera någorlunda på 10mila mest på grundform. Bäst att inte träna när man inte kan återhämta sig",6x1/1 strides,6x1/1 strides,,,,,,,,,,,
,,,,,,,,,,,,,,,
,KM,,,10,6,10,12,6,44,,,,,,
,VECKA 19,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,Easy run,Fartlek,Easy run,OLGYsprinten,Easy run,Östhammarsmilen,Easy run,8,,,,,,
,,,,,,Cykel Easy,,,,,,,,,
,Intensitet,Låg,med,Låg,hög,Låg,Race,Låg,,,,,,,
,Tid på dagen,,,,". m,",,,,,,,,,,
,Tid,60,45,60,50,165,75,60,"8,583333333",,,,,,
,Info,,2x1000 + 4x500 flytfart @3:45,,,,SUB 37:30,,,,,,,,
,,,,,,,,,,,,,,,
,KM,10,10,10,8,8,13,10,69,,,,,,
,VECKA 20,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,Fartlek,SCC #1,Easy run,Easy Sprint OL,Easy run,SM Sprint,Ronnebystafetten,7,,,,,,
,,,,,,,,,,,,,,,
,Intensitet,med,Race,Låg,Låg,Låg,Race,Race,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,45,50,60,60,60,90,90,"7,583333333",,,,,,
,Info,2x1000 + 4x500 flytfart @3:45,,ev. OLGY sprint,4x200/3,3x1/1 flyt,,,,,,,,,
,,,,,,,,,,,,,,,
,KM,10,8,10,10,,14,12,64,,,,,,
,VECKA 21,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,Easy run,Easy run,SCC2,ÖLATON,,Easy run,45 LT,6,,,,,,
,,,,,,,,,,,,,,,
,Intensitet,Låg,Låg,Tävling,,,Låg,med,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,60,60,45,300,,60,75,10,,,,,,
,Info,,,,,VILA,,45 min i 4:20,,,,,,,
